Abs,H,S,L,IndexHSL,Day,CPC
0.5672,0.771428571,0.142857143,0.96969697,0.768820414,0,0.1728
0.5672,0.8,0.142857143,0.878787879,0.797993382,0,0.1728
0.5672,0.828571429,0.178571429,0.757575758,0.837132478,0,0.1728
0.5672,0.828571429,0.178571429,0.757575758,0.833056186,0,0.1728
0.5672,0.771428571,0.142857143,0.787878788,0.788719191,0,0.1728
0.5672,0.8,0.142857143,0.727272727,0.821103528,0,0.1728
0.5672,0.857142857,0.178571429,0.818181818,0.857572528,0,0.1728
0.5672,0.857142857,0.142857143,0.818181818,0.861983628,0,0.1728
0.5672,0.742857143,0.178571429,0.787878788,0.763622515,0,0.1728
0.5672,0.771428571,0.107142857,0.848484848,0.77786861,0,0.1728
0.5672,0.8,0.178571429,0.787878788,0.814647307,0,0.1728
0.5672,0.828571429,0.142857143,0.757575758,0.840963244,0,0.1728
0.5672,0.828571429,0.142857143,0.787878788,0.837177119,0,0.1728
0.5672,0.828571429,0.178571429,0.727272727,0.833385415,0,0.1728
0.5672,0.857142857,0.178571429,0.696969697,0.866500751,0,0.1728
0.5672,0.8,0.178571429,0.787878788,0.808146445,0,0.1728
0.5672,0.857142857,0.214285714,0.818181818,0.875621488,0,0.1728
0.5672,0.828571429,0.214285714,0.787878788,0.849113037,0,0.1728
0.5672,0.828571429,0.178571429,0.757575758,0.829936889,0,0.1728
0.5672,0.828571429,0.107142857,0.787878788,0.837450546,0,0.1728
0.5672,0.771428571,0.107142857,0.787878788,0.789561792,0,0.1728
0.5672,0.771428571,0.071428571,0.878787879,0.791830118,0,0.1728
0.5672,0.742857143,0.107142857,0.848484848,0.749920483,0,0.1728
0.5672,0.828571429,0.178571429,0.757575758,0.833368674,0,0.1728
0.5672,0.742857143,0.107142857,0.787878788,0.76344674,0,0.1728
0.5672,0.8,0.107142857,0.787878788,0.806232457,0,0.1728
0.5672,0.714285714,0.107142857,0.818181818,0.712318715,0,0.1728
0.5672,0.742857143,0.178571429,0.909090909,0.754317633,0,0.1728
0.5672,0.742857143,0.178571429,0.909090909,0.743137824,0,0.1728
0.5672,0.742857143,0.142857143,0.909090909,0.746907208,0,0.1728
